GameID,FileName,Extension,Platform,Genre,Description,Compatibility,Size,DownloadLink,CoverArtLink
PSX-05FCAEDD,10th Anniversary Memorial Save Data,CHD,Sony PlayStation 1,General,10th Anniversary Memorial Save Data.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",59.68 MB,https://archive.org/download/ps1-rip-chd-ck/10th Anniversary Memorial Save Data.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/10th%20Anniversary%20Memorial%20Save%20Data.png
PSX-48B5AF93,19-ji 03-pun - Ueno-hatsu Yakou Ressha,CHD,Sony PlayStation 1,General,19-ji 03-pun - Ueno-hatsu Yakou Ressha.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",85.39 MB,https://archive.org/download/ps1-rip-chd-ck/19-ji 03-pun - Ueno-hatsu Yakou Ressha.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/19-ji%2003-pun%20-%20Ueno-hatsu%20Yakou%20Ressha.png
PSX-FF8812B1,1Xtreme,CHD,Sony PlayStation 1,General,1Xtreme.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",12.72 MB,https://archive.org/download/ps1-rip-chd-ck/1Xtreme.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/1Xtreme.png
PSX-BE8270F0,2Xtreme,CHD,Sony PlayStation 1,General,2Xtreme.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",12.36 MB,https://archive.org/download/ps1-rip-chd-ck/2Xtreme.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/2Xtreme.png
PSX-726153E0,360 - Three Sixty,CHD,Sony PlayStation 1,General,360 - Three Sixty.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",17.45 MB,https://archive.org/download/ps1-rip-chd-ck/360 - Three Sixty.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/360%20-%20Three%20Sixty.png
PSX-A38517EA,3D Lemmings,CHD,Sony PlayStation 1,General,3D Lemmings.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",3.06 MB,https://archive.org/download/ps1-rip-chd-ck/3D Lemmings.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/3D%20Lemmings.png
PSX-0EA44578,"3D Pool, Archer Macleans",CHD,Sony PlayStation 1,General,"3D Pool, Archer Macleans.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.","Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",77.35 MB,"https://archive.org/download/ps1-rip-chd-ck/3D Pool, Archer Macleans.chd",https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/3D%20Pool%2C%20Archer%20Macleans.png
PSX-8F6B3A89,3Xtreme,CHD,Sony PlayStation 1,General,3Xtreme.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",64.43 MB,https://archive.org/download/ps1-rip-chd-ck/3Xtreme.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/3Xtreme.png
PSX-EBCE2177,40 Winks - Conquer Your Dreams featuring Ruff Tumble,CHD,Sony PlayStation 1,General,40 Winks - Conquer Your Dreams featuring Ruff Tumble.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",40.26 MB,https://archive.org/download/ps1-rip-chd-ck/40 Winks - Conquer Your Dreams featuring Ruff Tumble.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/40%20Winks%20-%20Conquer%20Your%20Dreams%20featuring%20Ruff%20Tumble.png
PSX-EC489CD4,4x4 World Trophy,CHD,Sony PlayStation 1,General,4x4 World Trophy.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",80.59 MB,https://archive.org/download/ps1-rip-chd-ck/4x4 World Trophy.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/4x4%20World%20Trophy.png
PSX-6CA9EDAA,5 Star Racing,CHD,Sony PlayStation 1,Racing,"5 Star Racing.chd is an engaging Racing game released for the Sony PlayStation 1. This title offers a unique experience within the racing genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",14.43 MB,https://archive.org/download/ps1-rip-chd-ck/5 Star Racing.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/5%20Star%20Racing.png
PSX-04FC5420,70's Robot Anime - Geppy-X - The Super Boosted Armor,CHD,Sony PlayStation 1,General,70's Robot Anime - Geppy-X - The Super Boosted Armor [Disc 3].chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",21.10 MB,https://archive.org/download/ps1-rip-chd-ck/70's Robot Anime - Geppy-X - The Super Boosted Armor [Disc 3].chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/70%27s%20Robot%20Anime%20-%20Geppy-X%20-%20The%20Super%20Boosted%20Armor.png
PSX-BF9F9D30,70s Robot Anime - Geppy-X - The Super Boosted Armor,CHD,Sony PlayStation 1,General,70s Robot Anime - Geppy-X - The Super Boosted Armor [Disc 1].chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",32.05 MB,https://archive.org/download/ps1-rip-chd-ck/70s Robot Anime - Geppy-X - The Super Boosted Armor [Disc 1].chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/70s%20Robot%20Anime%20-%20Geppy-X%20-%20The%20Super%20Boosted%20Armor.png
PSX-2AA1B678,70s Robot Anime - Geppy-X - The Super Boosted Armor,CHD,Sony PlayStation 1,General,70s Robot Anime - Geppy-X - The Super Boosted Armor [Disc 2].chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",26.12 MB,https://archive.org/download/ps1-rip-chd-ck/70s Robot Anime - Geppy-X - The Super Boosted Armor [Disc 2].chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/70s%20Robot%20Anime%20-%20Geppy-X%20-%20The%20Super%20Boosted%20Armor.png
PSX-8DBCA323,70s Robot Anime - Geppy-X - The Super Boosted Armor,CHD,Sony PlayStation 1,General,70s Robot Anime - Geppy-X - The Super Boosted Armor [Disc 4].chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",17.03 MB,https://archive.org/download/ps1-rip-chd-ck/70s Robot Anime - Geppy-X - The Super Boosted Armor [Disc 4].chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/70s%20Robot%20Anime%20-%20Geppy-X%20-%20The%20Super%20Boosted%20Armor.png
PSX-FD5733B2,A Bug's Life,CHD,Sony PlayStation 1,General,A Bug's Life.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",23.98 MB,https://archive.org/download/ps1-rip-chd-ck/A Bug's Life.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/A%20Bug%27s%20Life.png
PSX-B4D0EB9C,A Ressha de Ikou 4 - Evolution Global,CHD,Sony PlayStation 1,General,A Ressha de Ikou 4 - Evolution Global.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",37.61 MB,https://archive.org/download/ps1-rip-chd-ck/A Ressha de Ikou 4 - Evolution Global.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/A%20Ressha%20de%20Ikou%204%20-%20Evolution%20Global.png
PSX-BD568462,A Ressha de Ikou 4 - Evolution,CHD,Sony PlayStation 1,General,A Ressha de Ikou 4 - Evolution.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",11.02 MB,https://archive.org/download/ps1-rip-chd-ck/A Ressha de Ikou 4 - Evolution.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/A%20Ressha%20de%20Ikou%204%20-%20Evolution.png
PSX-147D8625,A Ressha de Ikou Z - Mezase! Tairiku Oudan,CHD,Sony PlayStation 1,General,A Ressha de Ikou Z - Mezase! Tairiku Oudan.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",83.17 MB,https://archive.org/download/ps1-rip-chd-ck/A Ressha de Ikou Z - Mezase! Tairiku Oudan.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/A%20Ressha%20de%20Ikou%20Z%20-%20Mezase%21%20Tairiku%20Oudan.png
PSX-5732F327,A Small Journey by Giuseppe Gatta,CHD,Sony PlayStation 1,General,A Small Journey by Giuseppe Gatta.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",1022.85 KB,https://archive.org/download/ps1-rip-chd-ck/A Small Journey by Giuseppe Gatta.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/A%20Small%20Journey%20by%20Giuseppe%20Gatta.png
PSX-594B392A,"A-Train - Trains, Power, Money",CHD,Sony PlayStation 1,General,"A-Train - Trains, Power, Money.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.","Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",5.81 MB,"https://archive.org/download/ps1-rip-chd-ck/A-Train - Trains, Power, Money.chd",https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/A-Train%20-%20Trains%2C%20Power%2C%20Money.png
PSX-C9996693,A.IV - Evolution Global,CHD,Sony PlayStation 1,General,A.IV - Evolution Global.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",60.43 MB,https://archive.org/download/ps1-rip-chd-ck/A.IV - Evolution Global.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/A.IV%20-%20Evolution%20Global.png
PSX-2E8677CE,A2 Racer - Europa Tour,CHD,Sony PlayStation 1,General,A2 Racer - Europa Tour.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",27.76 MB,https://archive.org/download/ps1-rip-chd-ck/A2 Racer - Europa Tour.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/A2%20Racer%20-%20Europa%20Tour.png
PSX-600608AF,AFL 99,CHD,Sony PlayStation 1,General,AFL 99.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",144.68 MB,https://archive.org/download/ps1-rip-chd-ck/AFL 99.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/AFL%2099.png
PSX-7F14AC8B,AI Mahjong 2000,CHD,Sony PlayStation 1,General,AI Mahjong 2000.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",41.95 MB,https://archive.org/download/ps1-rip-chd-ck/AI Mahjong 2000.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/AI%20Mahjong%202000.png
PSX-1A5F48ED,AI Mahjong Selection,CHD,Sony PlayStation 1,General,AI Mahjong Selection.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",41.99 MB,https://archive.org/download/ps1-rip-chd-ck/AI Mahjong Selection.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/AI%20Mahjong%20Selection.png
PSX-6B2767DB,AI Shougi 2 Deluxe,CHD,Sony PlayStation 1,General,AI Shougi 2 Deluxe.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",20.18 MB,https://archive.org/download/ps1-rip-chd-ck/AI Shougi 2 Deluxe.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/AI%20Shougi%202%20Deluxe.png
PSX-6E14AC99,AI Shougi 2,CHD,Sony PlayStation 1,General,AI Shougi 2.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",16.49 MB,https://archive.org/download/ps1-rip-chd-ck/AI Shougi 2.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/AI%20Shougi%202.png
PSX-2CEC9E33,AI Shougi Selection,CHD,Sony PlayStation 1,General,AI Shougi Selection.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",18.06 MB,https://archive.org/download/ps1-rip-chd-ck/AI Shougi Selection.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/AI%20Shougi%20Selection.png
PSX-B5866AEC,AI Shougi,CHD,Sony PlayStation 1,General,AI Shougi.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",68.26 MB,https://archive.org/download/ps1-rip-chd-ck/AI Shougi.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/AI%20Shougi.png
PSX-7F6941A1,ATV - Quad Power Racing,CHD,Sony PlayStation 1,Racing,"ATV - Quad Power Racing.chd is an engaging Racing game released for the Sony PlayStation 1. This title offers a unique experience within the racing genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",37.67 MB,https://archive.org/download/ps1-rip-chd-ck/ATV - Quad Power Racing.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/ATV%20-%20Quad%20Power%20Racing.png
PSX-D729FA95,ATV Mania,CHD,Sony PlayStation 1,General,ATV Mania.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",4.62 MB,https://archive.org/download/ps1-rip-chd-ck/ATV Mania.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/ATV%20Mania.png
PSX-36200A57,ATV Racers,CHD,Sony PlayStation 1,General,ATV Racers.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",4.06 MB,https://archive.org/download/ps1-rip-chd-ck/ATV Racers.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/ATV%20Racers.png
PSX-D48156EC,AbalaBurn,CHD,Sony PlayStation 1,General,AbalaBurn.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",28.12 MB,https://archive.org/download/ps1-rip-chd-ck/AbalaBurn.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/AbalaBurn.png
PSX-4F6FE083,Abe a GoGo,CHD,Sony PlayStation 1,General,Abe a GoGo.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",139.16 MB,https://archive.org/download/ps1-rip-chd-ck/Abe a GoGo.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/Abe%20a%20GoGo.png
PSX-38A0250F,Ace Combat 1,CHD,Sony PlayStation 1,General,Ace Combat 1.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",59.77 MB,https://archive.org/download/ps1-rip-chd-ck/Ace Combat 1.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/Ace%20Combat%201.png
PSX-D041D6C8,Ace Combat 2,CHD,Sony PlayStation 1,General,Ace Combat 2.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",34.73 MB,https://archive.org/download/ps1-rip-chd-ck/Ace Combat 2.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/Ace%20Combat%202.png
PSX-609AC770,Ace Combat 3 - Electrosphere,CHD,Sony PlayStation 1,General,Ace Combat 3 - Electrosphere.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",28.30 MB,https://archive.org/download/ps1-rip-chd-ck/Ace Combat 3 - Electrosphere.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/Ace%20Combat%203%20-%20Electrosphere.png
PSX-FEEFA605,Aces of the Air,CHD,Sony PlayStation 1,General,Aces of the Air.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",1.57 MB,https://archive.org/download/ps1-rip-chd-ck/Aces of the Air.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/Aces%20of%20the%20Air.png
PSX-254E50B3,Acid,CHD,Sony PlayStation 1,General,Acid.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",108.12 MB,https://archive.org/download/ps1-rip-chd-ck/Acid.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/Acid.png
PSX-E2CE6D92,Action Bass,CHD,Sony PlayStation 1,Action,"Action Bass.chd is an engaging Action game released for the Sony PlayStation 1. This title offers a unique experience within the action genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",71.56 MB,https://archive.org/download/ps1-rip-chd-ck/Action Bass.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/Action%20Bass.png
PSX-5A9055C7,Action Man - Operation Extreme,CHD,Sony PlayStation 1,Action,"Action Man - Operation Extreme.chd is an engaging Action game released for the Sony PlayStation 1. This title offers a unique experience within the action genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",30.23 MB,https://archive.org/download/ps1-rip-chd-ck/Action Man - Operation Extreme.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/Action%20Man%20-%20Operation%20Extreme.png
