GameID,FileName,Extension,Platform,Genre,Rating,Votes,Description,Compatibility,Size,DownloadLink,CoverArtLink
DOS-A1692FA1,A+ English Grammar II,ZIP,DOS,Educational,6.1/10,398,"A+ English Grammar II is an engaging Educational game released for the DOS. This title offers a unique experience within the educational genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.25 MB,https://archive.org/download/total-dos-collection-a/A+ English Grammar II (Installer) (1992)(American Education Corp) [Educational][!].zip,https://thumbnails.libretro.com/DOS/Named_Boxarts/A%2B%20English%20Grammar%20II.png
DOS-283917EC,A-10 Tank Killer,ZIP,DOS,General,7.6/10,"2,140",A-10 Tank Killer is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",153.61 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer (1989)(Dynamix, Inc.) [Documentation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer.png
DOS-86115523,A-10 Tank Killer,ZIP,DOS,General,7.5/10,"2,422",A-10 Tank Killer is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",184.47 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer (1991)(Dynamix, Inc.) [Cheat].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer.png
DOS-6B9BF6A3,A-10 Tank Killer,ZIP,DOS,General,6.1/10,"2,430",A-10 Tank Killer is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",3.14 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer (1991)(Dynamix, Inc.) [Trainer].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer.png
DOS-6889AAFA,A-10 Tank Killer 1.1 upgrade,ZIP,DOS,Simulation,7.9/10,"4,129","A-10 Tank Killer 1.1 upgrade is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",189.77 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer 1.1 upgrade (1989)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%201.1%20upgrade.png
DOS-C0846837,A-10 Tank Killer 1.4 upgrade,ZIP,DOS,Simulation,8.5/10,171,"A-10 Tank Killer 1.4 upgrade is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",190.45 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer 1.4 upgrade (1990)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%201.4%20upgrade.png
DOS-E472599E,A-10 Tank Killer 1.5 to 1.52B1 patch,ZIP,DOS,Simulation,8.2/10,"1,797","A-10 Tank Killer 1.5 to 1.52B1 patch is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",53.54 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer 1.5 to 1.52B1 patch (1992)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%201.5%20to%201.52B1%20patch.png
DOS-2D4B124E,A-10 Tank Killer 1.5 to 1.52B1 patch,ZIP,DOS,Simulation,7.9/10,"1,011","A-10 Tank Killer 1.5 to 1.52B1 patch is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",54.38 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer 1.5 to 1.52B1 patch (1996)(Sierra On-Line, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%201.5%20to%201.52B1%20patch.png
DOS-F21ED2C4,A-10 Tank Killer 1.5 to 1.52B1 patch,ZIP,DOS,Simulation,7.3/10,674,"A-10 Tank Killer 1.5 to 1.52B1 patch [a1] is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",54.15 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer 1.5 to 1.52B1 patch [a1] (1992)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%201.5%20to%201.52B1%20patch.png
DOS-E1EDFBA4,A-10 Tank Killer Clicking Patch,ZIP,DOS,Simulation,6.9/10,"4,932","A-10 Tank Killer Clicking Patch is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",4.01 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer Clicking Patch (1991)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20Clicking%20Patch.png
DOS-0B02C96C,A-10 Tank Killer Clicking Patch,ZIP,DOS,Simulation,8.6/10,"4,544","A-10 Tank Killer Clicking Patch is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.98 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer Clicking Patch (1996)(Sierra On-Line, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20Clicking%20Patch.png
DOS-3D57981F,A-10 Tank Killer Config Patch,ZIP,DOS,Simulation,7.1/10,195,"A-10 Tank Killer Config Patch is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",6.44 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer Config Patch (1996)(Sierra On-Line, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20Config%20Patch.png
DOS-E386D7C5,A-10 Tank Killer Mouse Patch,ZIP,DOS,Simulation,6.0/10,144,"A-10 Tank Killer Mouse Patch is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.02 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer Mouse Patch (2011)(Ripsaw8080) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20Mouse%20Patch.png
DOS-9525459C,A-10 Tank Killer Re-Arm v2.0,ZIP,DOS,General,6.0/10,255,A-10 Tank Killer Re-Arm v2.0 is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",13.49 KB,https://archive.org/download/total-dos-collection-a/A-10 Tank Killer Re-Arm v2.0 (1990)(Richard B. Emerson) [Cheat].zip,https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20Re-Arm%20v2.0.png
DOS-A7D0CA30,A-10 Tank Killer Roland Patch,ZIP,DOS,Simulation,6.1/10,"1,861","A-10 Tank Killer Roland Patch is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",295.98 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer Roland Patch (2021)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20Roland%20Patch.png
DOS-D76884AC,A-10 Tank Killer Roland Patch v1.1,ZIP,DOS,Simulation,8.9/10,"4,381","A-10 Tank Killer Roland Patch v1.1 is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",221.37 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer Roland Patch v1.1 (2021)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20Roland%20Patch%20v1.1.png
DOS-D37C14E5,A-10 Tank Killer Warthog v1.1,ZIP,DOS,General,9.2/10,"1,347",A-10 Tank Killer Warthog v1.1 is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",27.89 KB,https://archive.org/download/total-dos-collection-a/A-10 Tank Killer Warthog v1.1 (1990)(Michael R. Schore) [Cheat].zip,https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20Warthog%20v1.1.png
DOS-DB1E1566,A-10 Tank Killer v1.0,ZIP,DOS,Simulation,6.6/10,"3,480","A-10 Tank Killer v1.0 is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.07 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.0 (1989)(Dynamix, Inc.) [Simulation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.0.png
DOS-DFA5EED4,A-10 Tank Killer v1.0,ZIP,DOS,Simulation,7.3/10,"1,060","A-10 Tank Killer v1.0 [f1] is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.24 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.0 [f1] (1989)(Dynamix, Inc.) [Simulation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.0.png
DOS-D23B7849,A-10 Tank Killer v1.1,ZIP,DOS,Simulation,7.9/10,531,"A-10 Tank Killer v1.1 is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.07 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.1 (1989)(Dynamix, Inc.) [Simulation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.1.png
DOS-440F5915,A-10 Tank Killer v1.1,ZIP,DOS,General,6.1/10,"3,383",A-10 Tank Killer v1.1 is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.08 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.1 (1990)(Dynamix, Inc.) [IMA][720k][!].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.1.png
DOS-767E901A,A-10 Tank Killer v1.1,ZIP,DOS,Simulation,9.3/10,983,"A-10 Tank Killer v1.1 is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.07 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.1 (1990)(Dynamix, Inc.) [Simulation][!].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.1.png
DOS-D1988800,A-10 Tank Killer v1.1,ZIP,DOS,General,7.0/10,"1,655",A-10 Tank Killer v1.1 is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",37.07 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.1 (1990)(Dynamix, Inc.) [kfx][720k][!].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.1.png
DOS-EFBC2A8D,A-10 Tank Killer v1.1,ZIP,DOS,Simulation,6.7/10,"4,535","A-10 Tank Killer v1.1 is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",244.50 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.1 (demo) (1989)(Dynamix, Inc.) [Simulation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.1.png
DOS-61721A00,A-10 Tank Killer v1.5,ZIP,DOS,General,9.5/10,"2,291",A-10 Tank Killer v1.5 is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.80 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.5 (1991)(Dynamix, Inc.) [IMA][720k].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.5.png
DOS-C524A308,A-10 Tank Killer v1.5,ZIP,DOS,Simulation,8.6/10,"3,772","A-10 Tank Killer v1.5 is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.79 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.5 (1991)(Dynamix, Inc.) [Simulation][!].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.5.png
DOS-E3DA8507,A-10 Tank Killer v1.5,ZIP,DOS,General,7.0/10,585,A-10 Tank Killer v1.5 is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",926.27 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.5 (1992)(Dynamix, Inc.) [Manual].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.5.png
DOS-2DBBB9CB,A-10 Tank Killer v1.5,ZIP,DOS,Simulation,9.2/10,"1,561","A-10 Tank Killer v1.5 [a1] is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.79 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.5 [a1] (1991)(Dynamix, Inc.) [Simulation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.5.png
DOS-607C1089,A-10 Tank Killer v1.5,ZIP,DOS,Simulation,8.0/10,"2,036","A-10 Tank Killer v1.5 [a2] is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.79 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.5 [a2] (1991)(Dynamix, Inc.) [Simulation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.5.png
DOS-BD4D1227,A-10 Tank Killer v1.51,ZIP,DOS,General,8.5/10,"2,244",A-10 Tank Killer v1.51 is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.80 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.51 (1991)(Dynamix, Inc.) [IMA][1220k].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.51.png
DOS-12691D11,A-10 Tank Killer v1.51,ZIP,DOS,General,7.1/10,"3,631",A-10 Tank Killer v1.51 is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.80 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.51 (1991)(Dynamix, Inc.) [IMA][720k][!].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.51.png
DOS-7B04E13D,A-10 Tank Killer v1.51,ZIP,DOS,Simulation,6.1/10,778,"A-10 Tank Killer v1.51 is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.79 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.51 (1991)(Dynamix, Inc.) [Simulation][!].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.51.png
DOS-4FEA8B7F,A-10 Tank Killer v1.51,ZIP,DOS,Simulation,7.7/10,"4,590","A-10 Tank Killer v1.51 [a1] is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.79 MB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer v1.51 [a1] (1991)(Dynamix, Inc.) [Simulation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer%20v1.51.png
DOS-781EF36F,A-10 Tank Killer- Simulation System Module #1,ZIP,DOS,Simulation,6.9/10,845,"A-10 Tank Killer- Simulation System Module #1 is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",146.32 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer- Simulation System Module #1 (1990)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer-%20Simulation%20System%20Module%20%231.png
DOS-3D2D8DA9,A-10 Tank Killer- Simulation System Module #1,ZIP,DOS,Simulation,7.7/10,"3,708","A-10 Tank Killer- Simulation System Module #1 [a1] is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",145.98 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer- Simulation System Module #1 [a1] (1990)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer-%20Simulation%20System%20Module%20%231.png
DOS-16AA17B4,A-10 Tank Killer- Simulation System Module #1,ZIP,DOS,Simulation,7.7/10,"2,327","A-10 Tank Killer- Simulation System Module #1 [a2][h1] is an engaging Simulation game released for the DOS. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",182.92 KB,"https://archive.org/download/total-dos-collection-a/A-10 Tank Killer- Simulation System Module #1 [a2][h1] (1990)(Dynamix, Inc.) [Simulation, Addon].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A-10%20Tank%20Killer-%20Simulation%20System%20Module%20%231.png
